,0
the,33776
to,25341
rt,18556
a,15989
and,15839
of,14493
in,12931
for,12005
i,10757
is,10199
you,9627
on,9301
this,7376
my,7233
with,6776
at,5677
that,5008
we,4605
it,4449
are,4348
be,4193
our,3661
&amp;,3520
from,3475
your,3465
have,3295
all,3288
so,3283
was,3128
me,2755
about,2633
out,2615
new,2589
as,2554
by,2524
thank,2468
but,2435
not,2434
will,2429
just,2372
what,2356
an,2323
great,2253
-,2147
who,2092
get,2079
one,1989
up,1957
has,1907
love,1902
see,1881
can,1832
more,1806
his,1802
if,1782
how,1603
like,1585
when,1580
thanks,1529
do,1505
they,1502
now,1482
their,1456
time,1434
he,1431
happy,1414
i’m,1396
good,1374
us,1368
day,1360
today,1355
it’s,1351
no,1295
people,1268
been,1185
know,1178
or,1161
first,1151
had,1146
some,1134
last,1129
back,1114
make,1071
go,1059
her,1040
it's,970
than,964
got,949
these,938
watch,935
there,924
best,915
i'm,913
would,876
trump,859
here,848
much,847
work,837
show,832
need,829
want,820
big,792
tonight,789
check,787
going,781
live,777
always,777
should,772
don’t,764
every,763
think,760
very,758
proud,756
after,751
take,750
only,747
help,746
why,745
over,744
being,733
am,710
next,707
she,704
many,701
never,692
come,687
into,684
years,674
2,666
support,662
off,656
still,649
right,647
night,642
join,630
!,629
president,629
did,626
u,621
most,619
world,618
because,617
way,616
look,609
were,605
really,602
made,600
don't,599
those,598
keep,585
can’t,583
coming,573
excited,571
amazing,568
where,568
say,555
everyone,552
them,542
family,538
could,535
ready,534
women,526
congrats,524
hope,523
via,516
team,515
even,512
week,505
down,502
looking,502
year,501
ever,499
please,494
win,492
vote,492
game,486
american,482
t…,481
him,481
getting,476
wait,474
must,472
a…,471
two,470
better,469
sure,469
too,464
fun,463
special,460
working,458
children,456
the…,456
talk,455
birthday,454
full,453
another,451
its,447
little,446
part,441
@,441
may,435
❤️,430
doing,426
x,426
friend,426
can't,424
it.,421
well,419
forward,417
any,413
other,411
video,409
making,409
congratulations,409
before,409
which,408
against,407
having,406
life,403
tomorrow,403
man,402
fight,399
give,397
read,396
you’re,392
today.,389
w/,388
miss,387
–,386
de,383
stop,383
let’s,382
also,382
season,382
3,382
let,378
put,378
care,377
you.,374
episode,374
home,370
meet,368
such,367
since,367
that’s,366
few,366
through,366
families,365
while,364
said,364
find,359
hard,358
health,358
listen,356
tune,356
hear,352
kids,351
own,351
top,349
real,348
hey,345
.,344
then,344
favorite,344
things,343
play,341
feel,340
call,339
"today,",339
does,338
house,338
1,334
share,333
morning,332
to…,332
tickets,331
you!,328
@realdonaldtrump,328
la,326
i’ll,326
we're,321
friends,321
young,320
honor,320
we’re,319
days,318
national,318
lot,317
country,317
2018,315
u.s.,314
bill,312
beautiful,312
tax,312
guys,310
believe,310
incredible,310
state,309
4,307
i’ve,304
important,302
start,302
end,302
tell,302
says,301
long,298
free,296
old,295
talking,294
watching,292
something,291
senate,289
done,289
available,288
remember,288
news,288
america,286
chance,284
same,282
yes,281
and…,280
both,279
th…,279
stand,277
court,277
americans,274
black,274
during,274
"you,",272
thing,272
i…,271
away,271
you're,269
use,269
h…,268
white,267
job,266
nothing,263
someone,262
june,262
around,262
fans,261
again,260
together,260
taking,256
social,256
loved,256
oh,254
weekend,253
until,252
makes,252
post,251
that's,249
school,249
story,248
10,244
|,243
—,242
😂,242
me.,242
bring,241
latest,241
here:,240
meeting,240
policy,238
needs,238
it!,238
"""the",237
ago,235
this.,235
public,234
shows,234
today!,232
i've,232
change,231
nice,229
...,228
let's,228
times,227
already,225
awesome,224
left,224
#tbt,223
without,222
music,222
anyone,221
playing,220
s…,220
north,220
across,219
learn,219
welcome,217
true,217
gonna,217
now.,215
dream,215
everything,215
now!,214
open,214
trying,213
i'll,213
here's,212
e,212
might,211
justice,210
high,210
5,210
wish,209
congress,209
set,209
:),208
men,208
honored,208
super,207
grateful,207
tour,207
glad,207
thought,207
bad,207
looks,207
million,206
stay,206
came,205
wonderful,204
!!,203
lives,202
w,202
party,200
tonight!,200
appreciate,199
power,199
celebrate,198
interview,198
heart,197
book,197
photo,196
@youtube,196
human,196
follow,196
day.,195
+,195
former,195
w…,195
pretty,194
strong,194
he’s,194
under,193
seen,193
three,192
album,191
went,191
once,190
united,190
money,189
between,189
of…,189
et,189
trade,189
woman,189
o…,188
comes,188
didn’t,187
supreme,186
took,186
told,185
yesterday,185
called,185
--,184
business,183
baby,183
try,182
whole,181
tweet,181
economic,180
rights,180
lol,180
en,180
each,179
lost,179
kind,178
seeing,178
he's,178
enough,178
send,178
",",178
government,177
y’all,177
catch,177
place,176
behind,176
finally,176
head,175
running,175
takes,174
parents,174
city,174
summer,174
helping,174
energy,174
ask,174
future,173
f…,173
students,173
speaking,173
song,173
giving,172
tonight.,172
sunday,172
event,171
means,171
6,171
john,170
sorry,170
moment,170
run,170
face,170
states,170
history,169
wants,169
huge,169
second,169
visit,168
sign,168
actually,168
media,167
twitter,167
words,166
able,166
pay,166
soon,166
act,166
continue,166
truly,165
administration,165
#reverie,165
protect,165
fighting,164
leadership,163
march,163
office,163
guy,163
trump's,163
cool,163
here’s,162
signed,162
thoughts,161
day!,161
brother,161
republicans,161
@potus,160
democrats,160
saw,160
save,160
saying,159
person,159
joining,159
luck,159
july,159
become,159
https://t.co/…,158
sale,158
almost,158
point,158
opportunity,157
gets,157
community,157
los,157
campaign,157
god,156
piece,156
jobs,156
child,156
members,155
immigration,155
heard,155
senator,155
#nbavote,155
case,154
final,154
celebrating,154
time.,153
workers,153
podcast,153
red,152
in…,152
wanted,152
c…,152
center,152
hit,152
announce,152
enjoyed,151
p…,151
political,151
less,150
found,150
b…,150
friday,150
performance,149
girl,149
early,149
#americanidol,149
entire,149
law,148
service,148
https:…,147
enjoy,147
las,146
past,146
single,146
discuss,146
goes,146
starting,145
met,145
forget,145
greatest,145
leaders,145
maybe,144
https:/…,144
started,144
feeling,144
shot,144
https…,144
@fullfrontalsamb:,144
spread,143
paul,143
border,143
gave,142
federal,142
conversation,142
up.,142
biggest,141
decision,141
"me,",141
official,140
step,140
saturday,140
mean,140
opening,140
!!!,140
movie,140
doesn’t,140
using,140
cut,140
on…,139
today's,139
gotta,139
training,139
name,139
plan,139
girls,138
nba,138
starts,138
el,137
asked,137
speak,137
sending,137
won,137
prayers,136
truth,136
supporting,136
tv,136
for…,135
m…,135
including,135
1st,135
"it,",134
war,134
there’s,134
winning,134
didn't,134
missed,134
que,134
2017,134
anything,133
https://t.…,133
annual,133
local,133
cover,133
months,132
late,132
far,132
action,132
"""i",132
fan,132
agree,132
?,131
7,131
exclusive,131
voting,131
https://t…,130
gop,130
star,130
report,130
thinking,130
calling,129
htt…,129
global,129
https://…,128
"yes,",127
out.,127
yet,127
hours,127
leader,127
y,127
order,127
number,127
republican,127
bringing,126
monday,126
understand,126
there's,126
night.,126
pick,125
vs,125
today’s,124
deal,124
guess,124
climate,124
bob,124
lead,124
foster,124
“the,123
air,123
series,123
isn’t,123
passed,123
used,123
an…,123
coach,122
ya,122
we’ve,122
stage,121
inspired,120
larry,120
dear,120
gun,120
🔥,120
different,120
http…,120
york,120
sports,120
retweet,119
month,119
group,118
election,118
film,118
year.,118
"day,",118
comedy,118
least,118
respect,118
wanna,118
https://t.c…,118
powerful,118
#americanracetnt,117
safe,117
https://t.co…,117
o,117
ok,117
ice,117
"now,",116
joined,116
8,116
impact,116
weeks,116
wrong,115
cannot,115
april,115
raise,115
deserve,114
system,114
link,114
others,114
create,114
race,114
experience,114
message,114
/,114
christmas,114
pass,114
omg,114
questions,114
especially,113
🙌,113
security,113
taken,113
rest,113
doesn't,113
violence,112
else,112
san,112
at…,112
practice,112
voice,112
👀,112
perfect,111
ht…,111
player,111
what’s,111
us.,110
asking,110
youth,110
growth,110
line,110
record,110
week.,110
helped,110
you…,110
hold,109
premiere,109
chicago,109
family.,109
#timeless,109
dr.,108
20,108
standing,108
im,108
“i,107
course,107
crazy,107
role,107
boys,107
damn,107
statement,106
camp,106
she’s,106
keeping,106
obama,106
college,106
boy,106
we've,106
absolutely,106
victims,106
uk,106
governor,106
haha,106
class,106
living,106
exactly,105
crisis,105
ohio,105
issue,105
sen.,105
matter,105
trump’s,105
isn't,105
basketball,105
small,105
hour,105
worked,105
tough,105
spending,104
access,104
military,104
conference,104
that.,104
yourself,104
separated,104
anniversary,104
spend,104
turn,104
wrote,104
nyc,104
😍,104
putting,103
legend,103
easy,103
❤️❤️❤️,103
spoke,103
vegas,103
sometimes,103
ur,102
leading,102
nearly,102
dad,102
here.,102
one.,102
list,102
thousands,102
sexual,102
light,102
waiting,101
data,101
international,101
instead,101
shooting,101
video.,101
spent,101
along,101
fall,101
voted,101
ways,101
club,101
four,100
five,100
them.,100
round,100
killed,100
economy,100
country.,100
bit,100
release,100
hell,99
wow,99
un,99
with…,99
happening,99
tried,99
road,99
reason,99
son,99
lots,99
again.,99
@station19,99
ha,99
guest,99
west,99
force,98
donald,98
probably,98
hearing,98
clear,98
tomorrow.,98
showing,98
puerto,98
article,98
hall,98
room,98
talks,97
police,97
close,97
listening,97
lucky,97
word,97
launch,97
pm,97
@…,97
hot,96
mental,96
current,96
sad,96
donate,96
letter,96
show.,96
research,96
30,96
career,96
funny,96
people.,96
sweet,96
e…,96
reform,96
mind,96
what's,95
democratic,95
they’re,95
dream.,95
major,95
foreign,95
south,95
whether,95
life.,95
peace,95
bro,95
who’s,95
me!,94
side,94
needed,94
d…,94
rock,94
china,94
champion,94
knew,94
knows,94
cast,94
literally,94
lovely,94
often,94
millions,94
#ad,94
world.,94
continues,93
recent,93
reading,93
happen,93
idea,93
hate,93
fuck,93
picture,93
award,93
leave,93
separation,92
in!,92
jim,92
definitely,92
following,92
brought,92
moving,92
added,91
answer,91
